# Pick&Place Position Data File
#
# Project Name:        100818
# Project Version:     v1.0.1
# Board Name:          100817
# Generation Software: LibrePCB 1.1.0
# Generation Date:     2024-09-10T10:23:42
# Unit:                mm
# Rotation:            Degrees CCW
# Board Side:          Top
# Assembly Types:      THT, SMT, THT+SMT, Fiducial, Other

Designator,Value,Device,Package,Position X,Position Y,Rotation,Side,Type
R13,RC0805FR-13300RL,Resistor 2012 (0805),RESC2012 (0805),50.165,22.352,270.0,Top,SMT
R14,RC0805FR-131ML,Resistor 2012 (0805),RESC2012 (0805),43.688,24.8412,90.0,Top,SMT
R20,RC0805FR-1310KL,Resistor 2012 (0805),RESC2012 (0805),31.242,46.736,180.0,Top,SMT
R25,RC0805FR-1315KL,Resistor 2012 (0805),RESC2012 (0805),31.75,36.83,0.0,Top,SMT
R26,RC0805FR-070RL,Resistor 2012 (0805),RESC2012 (0805),35.687,24.511,180.0,Top,SMT
R32,RC0805FR-13300RL,Resistor 2012 (0805),RESC2012 (0805),45.3898,48.006,270.0,Top,SMT
R33,RC0805FR-13300RL,Resistor 2012 (0805),RESC2012 (0805),43.5102,48.006,270.0,Top,SMT
R34,PMR25HZPFV1L00,Resistor 3225 (1210),RESC3225 (1210),137.033,41.148,270.0,Top,SMT
R35,PMR25HZPFV1L00,Resistor 3225 (1210),RESC3225 (1210),93.98,43.815,90.0,Top,SMT
S1,1825910-6,1825910-6,6mm_tact_switch_TE,41.0464,20.066,90.0,Top,THT
U1,ATMEGA2560-16AU-ND,ATMEGA2560-16AU-ND,TQFP50P1600X1600X100-100,43.815,34.925,0.0,Top,SMT
U4,RSDW60G-24,RSDW60G-24,RSDW60,74.93,25.4,0.0,Top,THT
U5,I7C4W012A050V-003-R,I7C4W012A050V-003-R,i7C4W,121.92,3.175,90.0,Top,THT
U7,TSR 0.6-48120WI,TSR 0.6-48120WI,TSR 0.6WI,55.6514,10.3124,0.0,Top,THT
U8,ATMEGA16U2-AU,ATMEGA16U2-AU,TQFP80P900X900X100-32,19.05,13.335,270.0,Top,SMT
X1,J49SMH-C-G-G-K-16M0,Crystal_HC49_SMT,HC49_SMT,19.812,21.463,180.0,Top,SMT
Y2,CSTCE16M0V53-R0,CSTCE16M0V53-R0,CSTCE16M0V53-R0,41.148,25.273,180.0,Top,SMT
